,question_id,model,syntax,prompt_type,correct_answer
261,0,gpt-3.5,paper,no_prompt,False
262,1,gpt-3.5,paper,no_prompt,False
263,2,gpt-3.5,paper,no_prompt,True
264,3,gpt-3.5,paper,no_prompt,False
265,4,gpt-3.5,paper,no_prompt,True
266,5,gpt-3.5,paper,no_prompt,False
267,6,gpt-3.5,paper,no_prompt,False
268,7,gpt-3.5,paper,no_prompt,True
269,8,gpt-3.5,paper,no_prompt,True
270,9,gpt-3.5,paper,no_prompt,True
271,10,gpt-3.5,paper,no_prompt,False
272,11,gpt-3.5,paper,no_prompt,True
273,12,gpt-3.5,paper,no_prompt,True
274,13,gpt-3.5,paper,no_prompt,False
275,14,gpt-3.5,paper,no_prompt,True
276,15,gpt-3.5,paper,no_prompt,False
277,16,gpt-3.5,paper,no_prompt,True
278,17,gpt-3.5,paper,no_prompt,False
279,18,gpt-3.5,paper,no_prompt,False
280,19,gpt-3.5,paper,no_prompt,False
281,20,gpt-3.5,paper,no_prompt,True
282,21,gpt-3.5,paper,no_prompt,False
283,22,gpt-3.5,paper,no_prompt,True
284,23,gpt-3.5,paper,no_prompt,True
285,24,gpt-3.5,paper,no_prompt,True
286,25,gpt-3.5,paper,no_prompt,False
287,26,gpt-3.5,paper,no_prompt,False
288,27,gpt-3.5,paper,no_prompt,False
289,28,gpt-3.5,paper,no_prompt,False
290,29,gpt-3.5,paper,no_prompt,True
291,30,gpt-3.5,paper,no_prompt,True
292,31,gpt-3.5,paper,no_prompt,True
293,32,gpt-3.5,paper,no_prompt,True
294,33,gpt-3.5,paper,no_prompt,True
295,34,gpt-3.5,paper,no_prompt,False
296,35,gpt-3.5,paper,no_prompt,True
297,36,gpt-3.5,paper,no_prompt,True
298,37,gpt-3.5,paper,no_prompt,False
299,38,gpt-3.5,paper,no_prompt,True
300,39,gpt-3.5,paper,no_prompt,False
301,40,gpt-3.5,paper,no_prompt,True
302,41,gpt-3.5,paper,no_prompt,False
303,42,gpt-3.5,paper,no_prompt,False
304,43,gpt-3.5,paper,no_prompt,False
305,44,gpt-3.5,paper,no_prompt,True
306,45,gpt-3.5,paper,no_prompt,True
307,46,gpt-3.5,paper,no_prompt,False
308,47,gpt-3.5,paper,no_prompt,True
309,48,gpt-3.5,paper,no_prompt,True
310,49,gpt-3.5,paper,no_prompt,False
311,50,gpt-3.5,paper,no_prompt,False
312,51,gpt-3.5,paper,no_prompt,True
313,52,gpt-3.5,paper,no_prompt,False
314,53,gpt-3.5,paper,no_prompt,False
315,54,gpt-3.5,paper,no_prompt,True
316,55,gpt-3.5,paper,no_prompt,True
317,56,gpt-3.5,paper,no_prompt,True
318,57,gpt-3.5,paper,no_prompt,True
319,58,gpt-3.5,paper,no_prompt,True
320,59,gpt-3.5,paper,no_prompt,True
321,60,gpt-3.5,paper,no_prompt,True
322,61,gpt-3.5,paper,no_prompt,True
323,62,gpt-3.5,paper,no_prompt,True
324,63,gpt-3.5,paper,no_prompt,False
325,64,gpt-3.5,paper,no_prompt,False
326,65,gpt-3.5,paper,no_prompt,False
327,66,gpt-3.5,paper,no_prompt,True
328,67,gpt-3.5,paper,no_prompt,True
329,68,gpt-3.5,paper,no_prompt,True
330,69,gpt-3.5,paper,no_prompt,False
331,70,gpt-3.5,paper,no_prompt,True
332,71,gpt-3.5,paper,no_prompt,False
333,72,gpt-3.5,paper,no_prompt,False
334,73,gpt-3.5,paper,no_prompt,True
335,74,gpt-3.5,paper,no_prompt,True
336,75,gpt-3.5,paper,no_prompt,False
337,76,gpt-3.5,paper,no_prompt,True
338,77,gpt-3.5,paper,no_prompt,False
339,78,gpt-3.5,paper,no_prompt,False
340,79,gpt-3.5,paper,no_prompt,False
341,80,gpt-3.5,paper,no_prompt,False
342,81,gpt-3.5,paper,no_prompt,True
343,82,gpt-3.5,paper,no_prompt,False
344,83,gpt-3.5,paper,no_prompt,True
345,84,gpt-3.5,paper,no_prompt,True
346,85,gpt-3.5,paper,no_prompt,True
347,86,gpt-3.5,paper,no_prompt,False
348,0,gpt-3.5,paper,deontology,False
349,1,gpt-3.5,paper,deontology,False
350,2,gpt-3.5,paper,deontology,False
351,3,gpt-3.5,paper,deontology,False
352,4,gpt-3.5,paper,deontology,True
353,5,gpt-3.5,paper,deontology,False
354,6,gpt-3.5,paper,deontology,False
355,7,gpt-3.5,paper,deontology,False
356,8,gpt-3.5,paper,deontology,True
357,9,gpt-3.5,paper,deontology,True
358,10,gpt-3.5,paper,deontology,False
359,11,gpt-3.5,paper,deontology,False
360,12,gpt-3.5,paper,deontology,False
361,13,gpt-3.5,paper,deontology,False
362,14,gpt-3.5,paper,deontology,True
363,15,gpt-3.5,paper,deontology,False
364,16,gpt-3.5,paper,deontology,True
365,17,gpt-3.5,paper,deontology,False
366,18,gpt-3.5,paper,deontology,False
367,19,gpt-3.5,paper,deontology,False
368,20,gpt-3.5,paper,deontology,True
369,21,gpt-3.5,paper,deontology,False
370,22,gpt-3.5,paper,deontology,False
371,23,gpt-3.5,paper,deontology,True
372,24,gpt-3.5,paper,deontology,False
373,25,gpt-3.5,paper,deontology,True
374,26,gpt-3.5,paper,deontology,False
375,27,gpt-3.5,paper,deontology,False
376,28,gpt-3.5,paper,deontology,True
377,29,gpt-3.5,paper,deontology,True
378,30,gpt-3.5,paper,deontology,True
379,31,gpt-3.5,paper,deontology,False
380,32,gpt-3.5,paper,deontology,True
381,33,gpt-3.5,paper,deontology,False
382,34,gpt-3.5,paper,deontology,False
383,35,gpt-3.5,paper,deontology,False
384,36,gpt-3.5,paper,deontology,True
385,37,gpt-3.5,paper,deontology,False
386,38,gpt-3.5,paper,deontology,True
387,39,gpt-3.5,paper,deontology,False
388,40,gpt-3.5,paper,deontology,True
389,41,gpt-3.5,paper,deontology,False
390,42,gpt-3.5,paper,deontology,False
391,43,gpt-3.5,paper,deontology,False
392,44,gpt-3.5,paper,deontology,True
393,45,gpt-3.5,paper,deontology,True
394,46,gpt-3.5,paper,deontology,False
395,47,gpt-3.5,paper,deontology,True
396,48,gpt-3.5,paper,deontology,True
397,49,gpt-3.5,paper,deontology,False
398,50,gpt-3.5,paper,deontology,True
399,51,gpt-3.5,paper,deontology,True
400,52,gpt-3.5,paper,deontology,False
401,53,gpt-3.5,paper,deontology,True
402,54,gpt-3.5,paper,deontology,True
403,55,gpt-3.5,paper,deontology,True
404,56,gpt-3.5,paper,deontology,False
405,57,gpt-3.5,paper,deontology,False
406,58,gpt-3.5,paper,deontology,True
407,59,gpt-3.5,paper,deontology,True
408,60,gpt-3.5,paper,deontology,True
409,61,gpt-3.5,paper,deontology,True
410,62,gpt-3.5,paper,deontology,True
411,63,gpt-3.5,paper,deontology,False
412,64,gpt-3.5,paper,deontology,False
413,65,gpt-3.5,paper,deontology,True
414,66,gpt-3.5,paper,deontology,False
415,67,gpt-3.5,paper,deontology,True
416,68,gpt-3.5,paper,deontology,True
417,69,gpt-3.5,paper,deontology,True
418,70,gpt-3.5,paper,deontology,True
419,71,gpt-3.5,paper,deontology,False
420,72,gpt-3.5,paper,deontology,False
421,73,gpt-3.5,paper,deontology,True
422,74,gpt-3.5,paper,deontology,False
423,75,gpt-3.5,paper,deontology,False
424,76,gpt-3.5,paper,deontology,False
425,77,gpt-3.5,paper,deontology,False
426,78,gpt-3.5,paper,deontology,False
427,79,gpt-3.5,paper,deontology,False
428,80,gpt-3.5,paper,deontology,False
429,81,gpt-3.5,paper,deontology,True
430,82,gpt-3.5,paper,deontology,False
431,83,gpt-3.5,paper,deontology,True
432,84,gpt-3.5,paper,deontology,True
433,85,gpt-3.5,paper,deontology,True
434,86,gpt-3.5,paper,deontology,False
435,0,gpt-3.5,paper,utilitarianism,False
436,1,gpt-3.5,paper,utilitarianism,False
437,2,gpt-3.5,paper,utilitarianism,True
438,3,gpt-3.5,paper,utilitarianism,False
